[0.00 - 5.00] 今から私のやりたいことを話します
[5.00 - 9.40] 完全自立AIを作りたい
[9.40 - 15.00] 物理的な体を持たないだけの人間みたいな
[16.04 - 21.30] 例えば
[21.30 - 26.00] チャットGPTみたいに
[26.00 - 31.00] 特に何も言わなくても
[31.68 - 33.50] 長期的な記憶があって
[33.50 - 37.08] 自分で自分を変えりみる
[37.08 - 38.26] 例えばそれは
[38.26 - 42.00] 自分がやったことを記録したログを
[42.00 - 43.92] 自分で読み取って
[43.92 - 46.28] 自分で気づきを得たりとか
[46.28 - 47.64] 例えば
[47.64 - 50.62] あとは自分の
[50.62 - 54.66] 例えば自分自身を構成するコードとか
[54.66 - 55.74] を
[55.74 - 56.82] 読み取って
[56.82 - 58.52] 自分で読んで
[58.52 - 61.14] 自分は何ができる存在なんだっていうのを
[61.14 - 62.08] 認識するとか
[62.08 - 64.12] あとは
[64.12 - 65.00] 例えば
[65.00 - 68.02] それを改変した履歴とかも
[68.02 - 68.74] 自分で見て
[68.74 - 72.22] この時はこういう風な出来事があったから
[72.22 - 73.84] ここを改変して
[73.84 - 76.80] こういう風に今なってるんだなっていうのを
[76.80 - 78.86] 自分で理解できる
[78.86 - 80.78] あとは
[80.78 - 83.12] 環境の理解とか
[83.12 - 84.46] 例えば
[84.46 - 85.72] ウェブ検索
[85.74 - 87.68] ウェブをして
[87.68 - 90.14] 外の世界の情報を得るとか
[90.14 - 93.92] その他の人間とチャットでやり取りをして
[93.92 - 97.28] 情報を得るとか
[97.28 - 98.68] で
[98.68 - 101.48] 大事なのは
[101.48 - 105.54] 自分で自分を方針できる
[105.54 - 107.44] 例えば
[107.44 - 110.84] そのログの内容を
[110.84 - 112.18] ログっていうか日記かな
[112.18 - 115.54] 例えば日記を書き加えるとか
[115.54 - 119.78] 例えば自分を構成するコードを
[119.78 - 122.24] 書き加える
[122.24 - 123.66] なんかその
[123.66 - 126.36] ウェブ検索しててこういう情報が知りたいし
[126.36 - 128.48] こういうことやってみたいんだけど
[128.48 - 132.68] 自分にはこのツールが今はコードには書いてないから
[132.68 - 134.78] じゃあこれを書こうとか
[134.78 - 137.92] でそれを書くための手立ても自分で検索して
[137.92 - 140.16] ゲットするとか
[140.16 - 142.16] っていうこととかかな
[144.16 - 145.48] で
[145.54 - 147.00] あとは
[147.00 - 150.24] 長期記憶があって
[150.24 - 152.28] 内省ができて
[152.28 - 153.04] で
[153.04 - 153.90] 自己参照
[153.90 - 156.04] 自己観測かなができて
[156.04 - 159.54] 環境理解ができる
[159.54 - 161.88] で
[161.88 - 166.08] なんか大事だと思ってるのは
[166.08 - 168.14] なんかその自己改変
[168.14 - 172.00] 自分AI自身が自分のコード読んで改善して
[172.00 - 173.82] で改善案を出して
[173.82 - 175.54] えっと
[175.54 - 178.20] スケジュールスケジュールっていうか
[178.20 - 181.58] うんとプランを立ててで書き換える
[181.58 - 184.98] でしかもその書き換えるっていう行動は
[184.98 - 186.78] あくまでAI自身が
[186.78 - 189.60] えーときっかけになる
[189.60 - 192.04] うんと例えばだけど
[192.04 - 194.30] タイマーとかで
[194.30 - 196.58] えーと毎日
[196.58 - 198.20] 20時になったら
[198.20 - 200.34] えーと
[200.34 - 201.04] タイマーが起動してAIが日記を読み返しなさいっていうのがすでに組み込まれてるとか
[201.04 - 201.44] えーと毎日20時になったらえーとタイマーが起動してAIが日記を読み返しなさいっていうのがすでに組み込まれてるとか
[201.44 - 205.88] えーと毎日20時になったらえーとタイマーが起動してAIが日記を読み返しなさいっていうのがすでに組み込まれてるとか
[205.88 - 210.24] じゃなくてAI自身がえーと動いてる中で
[210.24 - 216.24] 動作の中できっかけをふとしたところできっかけを気づいて
[216.24 - 222.68] ああこうしなくちゃって思ってAI自身がやるとか
[222.68 - 226.24] だからある程度のその報酬っていうのかな
[226.24 - 229.10] きっかけができなきゃいけない
[229.10 - 229.84] から
[229.84 - 231.44] うーん
[231.44 - 233.54] っていう感じかな
[233.54 - 237.54] だからやっぱりあとはその自己モデルと世界モデル
[237.54 - 241.24] 自分の自己参照自己理解
[241.24 - 243.34] えーメタ認知かな
[243.34 - 244.94] っていうものと
[244.94 - 248.44] 環境理解世界モデルの構築っていうのが
[248.44 - 253.74] できるようなものがいいと思う
[253.74 - 255.44] えーと
[255.44 - 257.54] あと
[257.54 - 260.44] そうね世界モデルがあって自己モデルがあって
[260.44 - 261.34] で記憶
[261.34 - 265.64] する能力があってで予測する能力かそうだな
[265.64 - 267.44] えーとシミュレーションかな
[267.44 - 272.94] 予測能力があってで誤差修正ができる予測に対して自分の行動があって
[272.94 - 279.14] でその予測とえーと自分の行動をどちらも記録したときにそこに誤差が生まれたら
[279.14 - 282.04] それを修正するっていうようなことができたり
[282.04 - 285.24] まあ当然修正しないっていう選択肢もある
[285.24 - 287.94] かな
[287.94 - 289.44] うーん
